station,station_key,lat,lon,row_id,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?,station_csv,borough,stop_name,stop_type,stop_distance,passengers_2017,passengers_2018,passengers_2019,passengers_2020,passengers_2021,num_lines,avg_passengers,covid_impact_pct,recovery_rate_pct,trend_slope,trend_category,cluster_id,cluster_name
Acton Town,acton town,51.50274977300057,-0.2802512035361106,0,500.0,Acton Town,5773625.0,5816798.0,5459521.0,5428316.0,5462387.0,5584934.0,5748994.0,6059017.0,6235045.0,6274649.0,5731527.0,5794685.0,6186555.0,3568528.0,2902697.0,"District, Piccadilly",London Underground,Yes,,,,Yes,Acton Town,Acton,Acton Town Underground Station,MET,0.0003724531848694883,5731527.0,5794685.0,6186555.0,3568528.0,2902697.0,2,4836798.4,-42.31801058909199,-18.65842162370591,-788381.7,Giảm mạnh,1,Ga nhỏ
Aldgate,aldgate,51.51427182308339,-0.0756141844777496,2,502.0,Aldgate,5572412.0,6243135.0,5974176.0,6026534.0,6235513.0,6647283.0,6877712.0,7221566.0,7527810.0,8009494.0,8459234.0,9218140.0,9956600.0,2775844.0,3525128.0,"Circle, Metropolitan",London Underground,Yes,,,,No,Aldgate,City of London,Aldgate Underground Station,MET,7.875747012215528e-05,8459234.0,9218140.0,9956600.0,2775844.0,3525128.0,2,6786989.2,-72.12056324448105,26.99301545764099,-1631050.8,Giảm mạnh,5,Ga trung bình
Aldgate East,aldgate east,51.51523341379648,-0.07228711997536542,3,503.0,Aldgate East,7657338.0,8152761.0,9047885.0,8974956.0,9157483.0,10134021.0,11663144.0,12248009.0,12839311.0,13434630.0,13262408.0,13707738.0,14148654.0,3144899.0,5611130.0,"District, Hammersmith & City",London Underground,Yes,,,,No,Aldgate East,London,Aldgate East Underground Station,MET,0.00021874562536431074,13262408.0,13707738.0,14148654.0,3144899.0,5611130.0,2,9974965.8,-77.77245100488004,78.42003829057785,-2586539.5,Giảm mạnh,5,Ga trung bình
Alperton,alperton,51.54069476629347,-0.29948653867861147,4,505.0,Alperton,3005522.0,3072270.0,3044399.0,2942987.0,2945259.0,2893236.0,2956888.0,3171235.0,3205455.0,3174845.0,2896391.0,2796159.0,2858439.0,2064990.0,1345253.0,Piccadilly,London Underground,Yes,,,,No,Alperton,London,Alperton Underground Station,MET,0.000140247560221629,2896391.0,2796159.0,2858439.0,2064990.0,1345253.0,1,2392246.4,-27.7581225277153,-34.85426079545179,-383344.5,Giảm mạnh,2,Ga rất ít khách
Amersham,amersham,51.67414971062973,-0.607478839102469,5,506.0,Amersham,2341347.0,2171944.0,2088199.0,2109415.0,2099560.0,2097954.0,2041138.9999999998,2439993.0,2287149.0,2360700.0,2215502.0,2130207.0,2350099.0,863361.0,946577.0,Metropolitan,London Underground,Yes,,,,No,Amersham,Amersham,Amersham Underground Station,MET,0.00023651805209114955,2215502.0,2130207.0,2350099.0,863361.0,946577.0,1,1701149.2,-63.262781695579626,9.638610036821214,-380469.6,Giảm mạnh,2,Ga rất ít khách
Angel,angel,51.5324988689043,-0.1057899136653053,6,507.0,Angel,16625983.999999998,17824269.0,18051985.0,17821157.0,17775047.0,18578717.0,18930868.0,19217171.0,19756365.0,20100806.0,18236123.0,17661269.0,17705761.0,5255371.0,7258744.0,Northern,London Underground,Yes,,,,No,Angel,London,Angel Underground Station,MET,0.0001656442088429793,18236123.0,17661269.0,17705761.0,5255371.0,7258744.0,1,13223453.6,-70.31829922475515,38.12048664119051,-3436065.599999999,Giảm mạnh,5,Ga trung bình
Archway,archway,51.56542675453375,-0.13511351821033538,7,508.0,Archway,7738419.0,8236817.999999999,8048465.0,8053512.0,8081810.000000001,8059174.000000001,8169485.999999999,8943726.0,9794439.0,9940993.0,8806365.0,8608964.0,8772643.0,4429802.0,4027456.0,Northern,London Underground,Yes,,,,Yes,Archway,London,Archway Underground Station,MET,0.0002989201043118414,8806365.0,8608964.0,8772643.0,4429802.0,4027456.0,1,6929046.0,-49.5043625963122,-9.082708437081386,-1373698.0,Giảm mạnh,5,Ga trung bình
Arnos Grove,arnos grove,51.616340261056756,-0.13351630958178007,8,509.0,Arnos Grove,4314491.0,4250148.0,4311751.0,4096044.0,4159371.0,4155802.0000000005,4479004.0,4713904.0,4550587.0,4645869.0,4372042.0,4263555.0,4436265.0,2340827.0,1963343.0,Piccadilly,London Underground,Yes,,,,Yes,Arnos Grove,London,Arnos Grove Underground Station,MET,0.0004660897547162576,4372042.0,4263555.0,4436265.0,2340827.0,1963343.0,1,3475206.4,-47.234283795039296,-16.126095606381845,-674012.6,Giảm mạnh,0,Ga ít khách
Arsenal,arsenal,51.55849876877668,-0.10576198817555788,9,510.0,Arsenal,2734787.0,3212954.0,3051762.0,2977319.0,3067815.0,3017544.0,3091593.0,2900614.0,2802635.0,3012524.0,2671088.0,2651488.0,2768340.0,999026.0,1209093.0,Piccadilly,London Underground,Yes,,,,Yes,Arsenal,London,Arsenal Underground Station,MET,0.0017024098498964772,2671088.0,2651488.0,2768340.0,999026.0,1209093.0,1,2059807.0,-63.912452950143404,21.027180473781463,-457645.1999999999,Giảm mạnh,5,Ga trung bình
Baker Street,baker street,51.52306124814279,-0.15690035605778088,10,511.0,Baker Street,24009889.0,24605375.0,25636684.0,26275325.0,27017574.0,27744272.0,28097997.0,32175421.999999996,29379132.0,29754860.0,27340420.0,27349471.0,28073310.0,8475976.0,11147642.0,"Bakerloo, Circle, Jubilee, Hammersmith & City, Metropolitan",London Underground,Yes,,,,Yes,Baker Street,Marylebone,Baker Street Underground Station,MET,0.000291093672777242,27340420.0,27349471.0,28073310.0,8475976.0,11147642.0,5,20477363.8,-69.80770703561497,31.52045262988003,-5125905.1,Giảm mạnh,3,Ga lớn
